name,label,district_key,district,attribute_1,attribute_2,latitude,longitude,source_file,id
pt_00118,Chikwawa - water conflict area,chikwawa,Chikwawa,water conflict area,severity=0,-15.961721669520433,34.75978487783231,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00118
pt_00119,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.95675797377925,34.76552478936847,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00119
pt_00120,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.95818784498042,34.76525924185968,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00120
pt_00121,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=3,-15.9571869351396,34.76873995689795,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00121
pt_00122,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.9585179920274,34.76929709599811,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00122
pt_00123,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.9544660945111,34.76558198421651,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00123
pt_00124,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.954243361431416,34.761478172162235,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00124
pt_00125,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.953424331207392,34.76178261216771,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00125
pt_00126,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.95201897208398,34.75544624007344,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00126
pt_00127,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.956546843083071,34.7578673796982,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00127
pt_00128,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.962228415874185,34.76178669751408,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00128
